Designator,Mid X,Mid Y,Rotation,Layer
C1,191.5,-95.0,270.0,top
C10,101.5,-95.0,270.0,top
C11_2,110.0,-66.5,180.0,top
C11,190.0,-66.5,180.0,top
C12_2,110.0,-56.5,180.0,top
C12,190.0,-56.5,180.0,top
C13_2,110.0,-46.5,180.0,top
C13,190.0,-46.5,180.0,top
C14_2,110.0,-36.5,180.0,top
C14,190.0,-36.5,180.0,top
C15_2,106.25,-109.0,90.0,top
C15,186.25,-109.0,90.0,top
C2,181.5,-95.0,270.0,top
C21,145.5,-100.75,180.0,top
C3,171.5,-95.0,270.0,top
C4,161.5,-95.0,270.0,top
C5,151.5,-95.0,270.0,top
C6,141.5,-95.0,270.0,top
C7,131.5,-95.0,270.0,top
C8,121.5,-95.0,270.0,top
C9,111.5,-95.0,270.0,top
IC1_2,110.0,-109.0,90.0,top
IC1,190.0,-109.0,90.0,top
J1,150.250001,-105.55,0.0,top
J2_2,110.0,-82.5,180.0,top
J2,190.0,-82.5,180.0,top
PH1,195.0,-95.0,180.0,bottom
PH10,105.0,-95.0,180.0,bottom
PH11_2,110.0,-70.0,270.0,bottom
PH11,190.0,-70.0,270.0,bottom
PH12_2,110.0,-60.0,270.0,bottom
PH12,190.0,-60.0,270.0,bottom
PH13_2,110.0,-50.0,270.0,bottom
PH13,190.0,-50.0,270.0,bottom
PH14_2,110.0,-40.0,270.0,bottom
PH14,190.0,-40.0,270.0,bottom
PH2,185.0,-95.0,180.0,bottom
PH3,175.0,-95.0,180.0,bottom
PH4,165.0,-95.0,180.0,bottom
PH5,155.0,-95.0,180.0,bottom
PH6,145.0,-95.0,180.0,bottom
PH7,135.0,-95.0,180.0,bottom
PH8,125.0,-95.0,180.0,bottom
PH9,115.0,-95.0,180.0,bottom
R1,195.0,-95.0,90.0,top
R10,158.5,-95.0,270.0,top
R11,145.0,-95.0,90.0,top
R12,148.5,-95.0,270.0,top
R13,135.0,-95.0,90.0,top
R14,138.5,-95.0,270.0,top
R15,125.0,-95.0,90.0,top
R16,128.5,-95.0,270.0,top
R17,115.0,-95.0,90.0,top
R18,118.5,-95.0,270.0,top
R19,105.0,-95.0,90.0,top
R2,198.5,-95.0,270.0,top
R20,108.5,-95.0,270.0,top
R21_2,110.0,-70.0,0.0,top
R21,190.0,-70.0,0.0,top
R22_2,110.0,-73.5,180.0,top
R22,190.0,-73.5,180.0,top
R23_2,110.0,-60.0,0.0,top
R23,190.0,-60.0,0.0,top
R24_2,110.0,-63.5,180.0,top
R24,190.0,-63.5,180.0,top
R25_2,110.0,-50.0,0.0,top
R25,190.0,-50.0,0.0,top
R26_2,110.0,-53.5,180.0,top
R26,190.0,-53.5,180.0,top
R27_2,110.0,-40.0,0.0,top
R27,190.0,-40.0,0.0,top
R28_2,110.0,-43.5,180.0,top
R28,190.0,-43.5,180.0,top
R3,185.0,-95.0,90.0,top
R4,188.5,-95.0,270.0,top
R5,175.0,-95.0,90.0,top
R6,178.5,-95.0,270.0,top
R7,165.0,-95.0,90.0,top
R8,168.5,-95.0,270.0,top
R9,155.0,-95.0,90.0,top
U1_2,110.0,-114.0,180.0,top
U1,190.0,-114.0,180.0,top
