Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C15, C17, C18, C19, C2, C20, C21, C22, C23, C3, C32, C33, C7, C8, C9",0603,19,0.1uf,
C13,0603,1,2200pf,
C14,0603,1,0.01uf,
C16,CP_Radial_D6.3mm_P2.50mm,1,100uf,
"C24, C25, C26, C27, C28, C29, C30, C31, C4, C5",0805,10,10uf,
C6,0603,1,4.7f,
"D1, D10, D13, D14, D16, D17, D18, D19, D9",D_SOD-123,9,SS2040FL,
"D11, D12, D15, D2, D20, D21, D22, D23, D24, D25, D26, D27",0603,12,LED,
"D3, D4, D5, D6, D7, D8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,6,WS2812B,
J1,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,1,Conn_01x14,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
"J3, J4",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
"PH1, PH2, PH3, PH4, PH5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02,
PH6,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05,
PH7,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06,
"Q1, Q2, Q3, Q7",SOT-23,4,BSS138,
"Q4, Q5",TO-252-2,2,Q_PMOS_GDS,
"Q6, Q9",TSOT-23,2,Q_NMOS_GSD,
"R1, R10, R12, R14, R15, R17, R18, R19, R2, R20, R4, R6, R7, R8, R9",0603,15,10k,
R11,0603,1,100,
"R13, R16, R5",0603,3,10,
"R21, R22, R23, R24, R25, R29, R3, R30, R31, R32, R33, R34, R35, R36",0603,14,1k,
R26,0603,1,330,
"R27, R28",0603,2,4.7k,
SW1,SS-12SDP2,1,SW_SPDT,
"SW2, SW3, SW4, SW5, SW6, SW7",SW4_SKRPABE010_ALPS,6,SW_MEC_5E,
"TP1, TP2, TP3, TP4, TP5",TestPoint_THTPad_D1.5mm_Drill0.7mm,5,TestPoint,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U2, U3",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,2,TB67H450FNG,
"U4, U8",encoder,2,encoder,
U5,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U7,TO-252-2,1,LM78M05_TO252,
U9,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
Y1,OSC_CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
